trial,alpha4,mean_profit,best_so_far,timestamp
0,6.218872,3492554.33,3492554.33,2026-09-10 21:38:03
3,8.151195,3458366.50,3492554.33,2026-09-10 21:38:07
2,2.093295,3423609.83,3492554.33,2026-09-10 21:38:10
1,9.041943,3539027.33,3539027.33,2026-09-10 21:38:14
5,2.677801,3463980.83,3539027.33,2026-09-10 21:48:24
7,10.000000,3513768.50,3539027.33,2026-09-10 21:48:25
4,0.306340,4037115.17,4037115.17,2026-09-10 21:48:28
6,5.423132,3492172.83,4037115.17,2026-09-10 21:48:37
10,0.000000,4047862.00,4047862.00,2026-09-10 21:58:32
8,10.000000,3513768.50,4047862.00,2026-09-10 21:58:33
9,10.000000,3513768.50,4047862.00,2026-09-10 21:58:34
11,0.000000,4051167.00,4051167.00,2026-09-10 21:58:41
